"filename", "language", "Shell Script", "Docker", "Batch", "YAML", "Go Work File", "Go", "C", "Markdown", "Go Module File", "Go Checksum File", "Properties", "C++", "JavaScript", "HTML", "GLSL", "JSON", "Makefile", "WebAssembly Text Format", "comment", "blank", "total"
"/home/jowens/Projects/NovusTimeServer/axi/todSlave.h", "C", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"/home/jowens/Projects/NovusTimeServer/cli/backupsnmd.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 27, 6, 56
"/home/jowens/Projects/NovusTimeServer/cli/cmd/axi.go", "Go", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 11, 57
"/home/jowens/Projects/NovusTimeServer/cli/cmd/conf.go", "Go", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 45
"/home/jowens/Projects/NovusTimeServer/cli/cmd/device.go", "Go", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 17, 77
"/home/jowens/Projects/NovusTimeServer/cli/cmd/disable.go", "Go", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 12, 58
"/home/jowens/Projects/NovusTimeServer/cli/cmd/dump.go", "Go", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 14, 89
"/home/jowens/Projects/NovusTimeServer/cli/cmd/enable.go", "Go", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 9, 41
"/home/jowens/Projects/NovusTimeServer/cli/cmd/ip.go", "Go", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 12, 69
"/home/jowens/Projects/NovusTimeServer/cli/cmd/ntp.go", "Go", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 12, 91
"/home/jowens/Projects/NovusTimeServer/cli/cmd/pps.go", "Go", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 12, 84
"/home/jowens/Projects/NovusTimeServer/cli/cmd/ptp.go", "Go", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 13, 90
"/home/jowens/Projects/NovusTimeServer/cli/cmd/read.go", "Go", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 54
"/home/jowens/Projects/NovusTimeServer/cli/cmd/root.go", "Go", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 8, 42
"/home/jowens/Projects/NovusTimeServer/cli/cmd/run.go", "Go", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 14, 51
"/home/jowens/Projects/NovusTimeServer/cli/cmd/stop.go", "Go", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 11, 44
"/home/jowens/Projects/NovusTimeServer/cli/cmd/write.go", "Go", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 13, 47
"/home/jowens/Projects/NovusTimeServer/cli/go.mod", "Go Module File", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"/home/jowens/Projects/NovusTimeServer/cli/go.sum", "Go Checksum File", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/home/jowens/Projects/NovusTimeServer/cli/main.go", "Go", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"/home/jowens/Projects/NovusTimeServer/cli/snmpd.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 27, 9, 50
"/home/jowens/Projects/NovusTimeServer/go.mod", "Go Module File", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/home/jowens/Projects/NovusTimeServer/go.work", "Go Work File", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/home/jowens/Projects/NovusTimeServer/nsAgent/nsAgent/novusAgent.c", "C", 0, 0, 0, 0, 0, 0, 2596, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1573, 996, 5165
"/home/jowens/Projects/NovusTimeServer/nsAgent/nsAgent/novusAgent.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 365, 0, 0, 0, 0, 0, 0, 20, 58, 443
"/home/jowens/Projects/NovusTimeServer/nsAgent/nsAgent/nsRadioSer.c", "C", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 17, 124
